uniref,md5
UniRef90_UPI0007AEA7EF,dca5184287aea038c0c3799ae6d35517
UniRef90_UPI00196961B7,47c8c45b25fe0ce9d2d89d07c6ddff4f
UniRef90_UPI001386B49A,9f9403541aa62303465103d5f61805d1
UniRef90_A0A7H0U5P5,1425e5aaa8af08671082cee42dd673d8
UniRef90_UPI000A1EC94B,5b767954da6f48d0cd762849414b2cc4
UniRef90_UPI0004F71206,2bfe3f95f9e8a43fe13107398265b042
UniRef90_UPI00163DC48E,bcca27181deb9edd8a93966044ddf109
UniRef90_A0A4P8GCN6,0504108be1d97685593aa15964e9e68d
UniRef90_A0A2D6P7R9,56ec83dcf3114ea55ed992f012bd6baf
UniRef90_UPI00030212D2,2b46afd1bff3ac2745c03b3900778582
UniRef90_UPI00143D6460,c09e79f3eab1a0ebbd67329643b1665f
UniRef90_UPI00140B3681,c705eaa72018179f298e25e9e2ff3fbf
UniRef90_A0A7H9E760,eae1ffcc974702639de3db2de6341302
UniRef90_A0A7W5LDP5,02d349bb361d4198fdacea4ecd71c437
UniRef90_A0A4Q9QRN6,263db9832feeab82b65299179961e57f
UniRef90_A0A7Z2FT20,3a0b117bc62b3a3f32f69fca4b83571f
UniRef90_A0A7W9N5E6,b321984b755082c937395e92bc3abdbc
UniRef90_UPI0018D8B6F4,fe2afc252802502a2695c8b485881d12
UniRef90_A0A1I5LVF4,5a85e81618db1954266d288ff69d1a80
UniRef90_UPI0005D3DE92,7950c2497e50d60b25b31ae1e86b33aa
UniRef90_UPI00068C3E73,7afbd32f95c39425f82d3c06506a530d
UniRef90_UPI001456A3CF,5388b7ddd00035da49d1a7fd85f7dce2
UniRef90_A0A7G7PUS6,32651947bb28b39e472857ccc16fa60e
UniRef90_UPI000D1ED1F4,94f577c054f52b2817d9377b14a49acc
UniRef90_UPI0009D97F6A,e0c28910bfb6b5dec1530986e951f8e1
UniRef90_A0A1C3W3Y3,6b4fa2255e4bbb399d51ed7eb67f3f16
UniRef90_A9V9N3,f18fff6400aa1d8297715a01cf45f2b2
UniRef90_A0A2V3Q307,2ae352b0efb786ccde8ac3b0502632cc
UniRef90_A0A5E4X384,367743e24cd38cc9272cec65573fbc4f
UniRef90_A0A2L0ID96,aac1a64df1d714100f4cb6fea6fa8b34
UniRef90_UPI00041232B4,eb25d28becc04b5208663f028496df62
UniRef90_Q0B4D0,a9fa48349e96c6e010d65d4a58771cf0
UniRef90_UPI0015E28677,1efd09215b519067dac265202392c418
UniRef90_UPI001ABE0B85,6c842a5c69d92a5c2f4c67ae30e92c4b
UniRef90_A0A329Y3R6,109705e6a4c4ec421c4f6e6c307f9f16
UniRef90_UPI00110E6CF1,e7ff8c665377f87fc9125930ad17a344
UniRef90_A0A5S6QUC9,9142c4a28714c893a14d4182ce4aaeae
UniRef90_A0A4P8KAW8,edd528ac9ab26cf704a7d14805c06705
UniRef90_A0A7T4E493,25945afe80707ac4ef92a9f72bd97f29
