chain,pfam_family
O00206,PF01582
O14786,PF00629
O15393,PF00089
O60674,PF07714
O95786,PF04851
P00533,PF07714
P00734,PF00089
P00747,PF00089
P00797,PF00026
P01008,PF00079
P01019,PF00079
P01042,PF00031
P01375,PF00229
P01562,PF00143
P01563,PF00143
P01574,PF00143
P01579,PF00714
P01583,PF00340
P01584,PF00340
P01589,PF00084
P01730,PF09191
P01732,PF07686
P02144,PF00042
P02675,PF00147
P02741,PF00354
P02768,PF00273
P02778,PF00048
P04141,PF01109
P04439,PF00129
P05112,PF00727
P05121,PF00079
P05187,PF00245
P05231,PF00489
P07711,PF00112
P07858,PF00112
P08571,PF13855
P08637,PF13895
P08887,PF09240
P09341,PF00048
P09919,PF16647
P09958,PF00082
P10145,PF00048
P10147,PF00048
P10321,PF00129
P11021,PF00012
P11226,PF00059
P12821,PF01401
P13232,PF01415
P13500,PF00048
P13591,PF07679
P13726,PF09294
P15144,PF11838
P15391,PF07686
P15692,PF00341
P16442,PF03414
P16860,PF00212
P17181,PF01108
P18510,PF00340
P19429,PF00992
P19838,PF00554
P19875,PF00048
P19876,PF00048
P21217,PF00852
P22301,PF00726
P23458,PF07714
P24298,PF00155
P25774,PF00112
P27487,PF00930
P29597,PF07714
P35247,PF00059
P40189,PF09067
P40763,PF01017
P42224,PF01017
P42345,PF02259
P42830,PF00048
P46663,PF00001
P48551,PF01108
P50052,PF00001
P52630,PF01017
P60568,PF00715
P78536,PF13688
P80162,PF00048
Q00978,PF10401
Q07325,PF00048
Q13114,PF00917
Q14116,PF00340
Q14653,PF10401
Q16552,PF06083
Q2M2I8,PF00069
Q695T7,PF00209
Q6UXB4,PF00059
Q7Z434,PF16739
Q8IUC6,PF17798
Q8WXG1,PF04055
Q96P20,PF05729
Q99460,PF17781
Q9BYF1,PF01401
Q9BYX4,PF04851
Q9H2X3,PF00059
Q9NNX6,PF00059
Q9NYK1,PF01582
